code,category,value
E02000046,4,77
E02000046,5,10
E02000048,1,2186
E02000048,2,1215
E02000048,3,441
E02000048,4,95
E02000048,5,12
E02000052,1,2200
E02000052,2,1409
E02000052,3,457
E02000052,4,117
E02000052,5,8
E02000059,1,1855
E02000059,2,1608
E02000059,3,747
E02000059,4,207
E02000059,5,20
E02000063,1,1237
E02000063,2,1010
E02000063,3,423
E02000063,4,134
E02000063,5,29
E02000066,1,1301
E02000066,2,1338
E02000066,3,661
E02000066,4,228
E02000066,5,20
E02000067,1,1793
E02000067,2,1388
E02000067,3,617
E02000067,4,167
E02000067,5,18
E02000070,1,1433
E02000070,2,1114
E02000070,3,489
E02000070,4,97
E02000070,5,7
E02000071,1,1288
E02000071,2,1044
E02000071,3,415
E02000071,4,82
E02000071,5,5
E02000078,1,1607
E02000078,2,992
E02000078,3,357
E02000078,4,58
E02000078,5,5
E02000082,1,1920
E02000082,2,1087
E02000082,3,379
E02000082,4,54
E02000082,5,3
E02000083,1,2166
E02000083,2,1462
E02000083,3,654
E02000083,4,148
E02000083,5,14
E02000085,1,1553
E02000085,2,1064
E02000085,3,386
E02000085,4,69
E02000085,5,1
E02000089,1,1598
E02000089,2,973
E02000089,3,276
E02000089,4,53
E02000089,5,4
E02000091,1,2165
E02000091,2,1521
E02000091,3,631
E02000091,4,126
E02000091,5,7
E02000098,1,1178
E02000098,2,1104
E02000098,3,445
E02000098,4,139
E02000098,5,9
E02000103,1,1276
E02000103,2,1323
E02000103,3,626
E02000103,4,214
E02000103,5,23
E02000108,1,919
E02000108,2,869
E02000108,3,387
E02000108,4,92
E02000108,5,8
E02000110,1,1324
E02000110,2,1077
E02000110,3,540
E02000110,4,143
E02000110,5,11
E02000112,1,1256
E02000112,2,1389
E02000112,3,715
E02000112,4,130
E02000112,5,5
E02000114,1,1518
E02000114,2,1289
E02000114,3,644
E02000114,4,235
E02000114,5,21
E02000119,1,1405
E02000119,2,1476
E02000119,3,778
E02000119,4,277
E02000119,5,16
E02000126,1,1288
E02000126,2,1257
E02000126,3,617
E02000126,4,229
E02000126,5,17
E02000133,1,2841
E02000133,2,1164
E02000133,3,274
E02000133,4,46
E02000133,5,4
E02000141,1,1646
E02000141,2,983
E02000141,3,378
E02000141,4,77
E02000141,5,9
E02000147,1,1997
E02000147,2,902
E02000147,3,226
E02000147,4,38
E02000147,5,4
E02000149,1,1598
E02000149,2,1053
E02000149,3,490
E02000149,4,130
E02000149,5,13
E02000150,1,1806
E02000150,2,958
E02000150,3,298
E02000150,4,49
E02000150,5,3
E02000151,1,1821
E02000151,2,907
E02000151,3,210
E02000151,4,32
E02000151,5,0
E02000153,1,1781
E02000153,2,848
E02000153,3,238
E02000153,4,24
E02000153,5,4
E02000158,1,1499
E02000158,2,1023
E02000158,3,420
E02000158,4,91
E02000158,5,3
E02000160,1,1714
E02000160,2,979
E02000160,3,314
E02000160,4,36
E02000160,5,1
E02000165,1,1504
E02000165,2,907
E02000165,3,291
E02000165,4,38
E02000165,5,1
E02000166,1,1669
E02000166,2,1069
E02000166,3,476
E02000166,4,164
E02000166,5,17
E02000169,1,1946
E02000169,2,804
E02000169,3,209
E02000169,4,58
E02000169,5,9
E02000174,1,1565
E02000174,2,1121
E02000174,3,580
E02000174,4,260
E02000174,5,25
E02000186,1,1380
E02000186,2,945
E02000186,3,473
E02000186,4,128
E02000186,5,15
E02000196,1,1179
E02000196,2,1043
E02000196,3,468
E02000196,4,111
E02000196,5,13
E02000198,1,1451
E02000198,2,1242
E02000198,3,612
E02000198,4,180
E02000198,5,17
E02000208,1,1462
E02000208,2,1527
E02000208,3,788
E02000208,4,280
E02000208,5,41
E02000213,1,2130
E02000213,2,1954
E02000213,3,977
E02000213,4,288
E02000213,5,42
E02000216,1,1623
E02000216,2,915
E02000216,3,326
E02000216,4,70
E02000216,5,8
E02000223,1,875
E02000223,2,1012
E02000223,3,669
E02000223,4,222
E02000223,5,11
E02000226,1,1588
E02000226,2,910
E02000226,3,247
E02000226,4,35
E02000226,5,1
E02000228,1,1863
E02000228,2,885
E02000228,3,235
E02000228,4,20
E02000228,5,4
E02000233,1,1390
E02000233,2,673
E02000233,3,277
E02000233,4,53
E02000233,5,3
E02000235,1,1600
E02000235,2,799
E02000235,3,210
E02000235,4,47
E02000235,5,1
E02000239,1,1471
E02000239,2,1036
E02000239,3,360
E02000239,4,60
E02000239,5,6
E02000245,1,1152
E02000245,2,1222
E02000245,3,718
E02000245,4,242
E02000245,5,19
E02000246,1,1131
E02000246,2,1143
E02000246,3,608
E02000246,4,173
E02000246,5,16
E02000252,1,1869
E02000252,2,1607
E02000252,3,693
E02000252,4,218
E02000252,5,21
E02000253,1,1438
E02000253,2,1386
E02000253,3,766
E02000253,4,225
E02000253,5,24
E02000254,1,922
E02000254,2,966
E02000254,3,556
E02000254,4,155
E02000254,5,9
E02000260,1,797
E02000260,2,1101
E02000260,3,641
E02000260,4,206
E02000260,5,9
E02000265,1,2198
E02000265,2,1491
E02000265,3,749
E02000265,4,266
E02000265,5,31
E02000267,1,1682
E02000267,2,999
E02000267,3,426
E02000267,4,105
E02000267,5,9
E02000269,1,1993
E02000269,2,956
E02000269,3,270
E02000269,4,65
E02000269,5,21
E02000283,1,1057
E02000283,2,1027
E02000283,3,540
E02000283,4,167
E02000283,5,9
E02000293,1,1428
E02000293,2,795
E02000293,3,231
E02000293,4,34
E02000293,5,3
E02000301,1,1127
E02000301,2,1441
E02000301,3,840
E02000301,4,292
E02000301,5,25
E02000302,1,1416
E02000302,2,1124
E02000302,3,455
E02000302,4,112
E02000302,5,7
E02000303,1,870
E02000303,2,1156
E02000303,3,641
E02000303,4,274
E02000303,5,35
E02000305,1,1778
E02000305,2,1129
E02000305,3,450
E02000305,4,90
E02000305,5,5
E02000307,1,1371
E02000307,2,1262
E02000307,3,578
E02000307,4,125
E02000307,5,8
E02000311,1,1389
E02000311,2,1351
E02000311,3,662
E02000311,4,222
E02000311,5,11
E02000312,1,1982
E02000312,2,1656
E02000312,3,647
E02000312,4,184
E02000312,5,26
E02000317,1,1067
E02000317,2,1006
E02000317,3,532
E02000317,4,203
E02000317,5,16
E02000324,1,1108
E02000324,2,1003
E02000324,3,516
E02000324,4,215
E02000324,5,13
E02000335,1,1362
E02000335,2,844
E02000335,3,316
E02000335,4,70
E02000335,5,0
E02000339,1,1304
E02000339,2,862
E02000339,3,346
